sogn	knr1886
Arnefjord	1417
Askvold	1428
Borgund	1423
Breim	1446
Brekke	1415
Bremanger	1438
Bygstad	1430
Bø	1413
Dale	1426
Daviken	1442
Eid	1443
Eikefjord	1437
Fet	1425
Flaam	1421
Fortun	1426
Fresvik	1419
Førde	1432
Gaupne	1426
Gjemmestad	1445
Guddal	1429
Gulen	1411
Hafslo	1425
Hauge	1422
Helgeim	1431
Holmedal	1429
Holsen	1432
Hornindalen	1444
Hove	1441
Husø	1412
Hyen	1445
Hyllestad	1413
Indviken	1447
Joranger	1425
Jostedalen	1427
Kaupanger	1420
Kinn	1437
Kirkebø	1416
Kvamsø	1417
Lavik	1415
Leikanger	1419
Loen	1448
Mundal (Fjærland)	1418
Naustdal	1432
Nedstryn	1448
Nes	1426
Norum	1420
Nærøen	1421
Olden	1447
Opstryn	1448
Rinde (Feios)	1419
Rugsund	1442
Sande	1430
Solvorn	1425
Stedje	1420
Staareim	1443
Sulen	1412
Svanø (Stavanger)	1437
Tjugum	1418
Tønjum	1422
Underdal	1421
Utviken	1447
Vangen	1421
Vangsnes	1418
Vereid	1445
Vevring	1434
Vik	1417
Vilnes	1428
Vaagsø	1441
Øn	1413
Aalfoten	1442
Aalhus	1431
Aardal	1424
