ID	Stadnamn	Lokalitetstype	Herred	Amt	X	Y	Koordinat_type	Lenke_til_ originalside
22	Laslet	Gard	Trøgstad	Smaalenene	11.317830489	59.575877079	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2008011010007?page=16
3497	Lahelle	Bruk	Glemminge	Smaalenene	10.9581309249768	59.2135893585864	Hovedteigcentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2008011010007?page=318
5411	Labraaten	Bruk	Nesodden	Akershus	10.6030227669889	59.7317368423021	Kartverket Adressepunkt	https://www.nb.no/items/URN:NBN:no-nb_digibok_2009052210001?page=104
7389	Lahaug	Gard	Skedsmo	Akershus	10.9646112733952	59.9738544591668	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2009052210001?page=286
18539	La	Gard	Østre Toten	Kristians	10.7883253218217	60.7037369944631	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2008013012001?page=89
21262	Lahaug	Bruk	Vestre Slidre	Kristians	9.03829225245575	61.0712166495252	Kartverket Adressepunkt	https://www.nb.no/items/URN:NBN:no-nb_digibok_2008013012001?page=303
21572	Lajord	Gard	Vang	Kristians	8.63688598585841	61.1300214976943	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2008013012001?page=332
24251	Labraaten	Bruk	Øvre Eker	Buskerud	9.74376215110689	59.8744260510101	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2008011512004?page=304
24578	Lahell	Gard	Lier	Buskerud	10.3109056394388	59.7266312954541	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2008011512004?page=341
26622	Lakjeld	Gard	Botne	Jarlsberg og Larvik	10.2160494834208	59.4980925928039	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2008010710001?page=87
28445	Lahelle	Bruk	Sandeherred	Jarlsberg og Larvik	10.2811787468542	59.1356811964827	Kartverket Adressepunkt	https://www.nb.no/items/URN:NBN:no-nb_digibok_2008010710001?page=290
30630	Lahelle	Bruk	Solum	Bratsberg	9.6444670505727	59.1495725026315	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2006120600018?page=164
30661	Lakaasene	Bruk	Solum	Bratsberg	9.58734443774217	59.1366153928023	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2006120600018?page=167
35811	Lahelle	Bruk	Oddernes	Lister og Mandal	8.00608969674535	58.1518741345011	Kartverket Adressepunkt	https://www.nb.no/items/URN:NBN:no-nb_digibok_2006120400045?page=33
38229	Ladberget	Bruk	Nes	Lister og Mandal	6.66308151143733	58.3243285429504	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2006120400045?page=333
38770	Lanes	Gard	Bjerkreim	Stavanger	6.26661228326706	58.7417609782422	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2006120801094?page=76
39169	Laland	Gard	Klep	Stavanger	5.66854285701772	58.7619052974616	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2006120801094?page=147
41804	Ladehoffde	Forsv. lokalitet	Kvinnherred	Søndre Bergenhus	6.12608145976957	60.0277811972115	Kommunecentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2008011710002?page=65
44338	Lavik	Gard	Hosanger	Søndre Bergenhus	6.02137350134779	60.7782208894898	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2008011710002?page=362
46450	Lavold	Gard	Lyster	Nordre Bergenhus	7.43755945905	61.4204643725	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2006120601007?page=38
46577	La	Gard	Hafslo	Nordre Bergenhus	7.1524072870884	61.3086713642741	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2006120601007?page=61
47736	Laberget	Gard	Hyllestad	Nordre Bergenhus	5.03511485708152	61.2411730370488	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2006120601007?page=245
49804	Lade	Gard	Vanylven	Romsdal	5.70309003632662	62.049902735382	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2010070605135?page=31
52124	Laberget	Bruk	Veø	Romsdal	7.4571130462	62.6859460740	Kartverket Bygningspunkt	https://www.nb.no/items/URN:NBN:no-nb_digibok_2010070605135?page=264
58466	Lade	Sokn	Strinden	Søndre Trondhjem	10.4386419813066	63.4462260682542	Lokalitetspunkt, Statens kartverk	https://www.nb.no/items/URN:NBN:no-nb_digibok_2008011612001?page=356
58467	Lade	Gard	Strinden	Søndre Trondhjem				https://www.nb.no/items/URN:NBN:no-nb_digibok_2008011612001?page=357
60309	Laberget	Gard	Skogn	Nordre Trondhjem	11.133625547284	63.7044799380415	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2008011012001?page=115
66250	Lasletten	Bruk	Lødingen	Nordland	16.5405766507741	68.4954908693882	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2018021948007?page=324
67083	Lanes	Bruk	Dverberg	Nordland	15.5199111580	68.8901060580	Kartverket Bygningspunkt	https://www.nb.no/items/URN:NBN:no-nb_digibok_2018021948007?page=418
67183	Lavolden	Bruk	Kvæfjord	Tromsø	16.302914296244897	68.718747815793876	Bygningscentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2015012708086?page=23
67460	Lavik	Gard	Ibbestad	Tromsø	17.4189475761922	68.7452895388748	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2015012708086?page=56
67481	Laberget mellem	Gard	Ibbestad	Tromsø	17.5121395951754	68.6730851534822	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2015012708086?page=58
67979	Lavolden	Bruk	Lenviken	Tromsø	18.0066816913467	69.2871346439853	Kartverket Adressepunkt	https://www.nb.no/items/URN:NBN:no-nb_digibok_2015012708086?page=111
68307	Labugten	Gard	Malangen	Tromsø	18.5957996572409	69.4063683006614	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2015012708086?page=136
68359	Labugten	Gard	Balsfjorden	Tromsø	18.9928073887361	69.4624292803833	Gardnummercentroide, Språksamlingane	https://www.nb.no/items/URN:NBN:no-nb_digibok_2015012708086?page=140
